,Product name,Price
0,"Amul-
Milk - Gold,1 L Pouch",70
1,"Amul-Moti Homogenized Toned Milk,
                    450 Ml Pouch",32
2,"Amul-Full Fat Milk-Gold, Liquid,
                    (500Ml Pack)",36
3,"Amul-Gold Milk - Homogenised
                    Standardised, 1L Carton, Liquid",80
4,"Amul-Taaza Homogenised Toned Milk 1
                    L Carton",75
5,"Amul-Taaza Homogenized toned Milk,
                    200 ml",17
6,"Everyday-Dairy Whitener by Nestle, 1kg,
                    Pouch",625
7,"Mother Dairy-UHT Fit Lite ESL Milk,
                    450ml",32
8,"A+-Slim Skimmed Milk, 1L, Tetra
                    Pack., Liquid",93
9,"-Nestle Milkmaid Partly Skimmed
                    Sweetened Condensed Milk, 380 g Tin",141
10,"Mother Dairy-Dailycious Rich & Creamy
                    Dairy Whitener Pouch, 1Kg, Powder",475
11,"Amul-Lactose Free Milk, 250
                    Ml",26
12,"Everyday-Dairy Powder Whitener by
                    Nestle, 200g Pouch",127
13,"Cadbury-Dairy Milk Silk Chocolate Bar,
                    144g",198
14,"Amul-Masti Spiced Butter Milk, 200
                    Ml",15
15,"Parle-
G Gold Milk, 1000 Gram",139
16,"Everyday-Nestle - Dairy Whitener - 400g,
                    Powder",255
17,"-Britannia Milk Bikis Biscuits,
                    200g Pack",30
18,"Heritage-Rich Badam Sterilized Flavoured
                    Milk, 180ml Bottle",15
19,"Amul-Masti Spiced Butter Milk Tetra
                    Pack, 1 Litre",70
20,"Dabur-Hommade Coconut Milk- Goodness
                    of 2 Creamy Coconuts-200 ml",87
21,"Mother Dairy-Flavoured Milk Bottle 180ml -
                    Coffee",30
22,"Milkmaid-Nestle Mini Sweetened Liquid
                    Condensed Milk, 190 G, Doy Pack",84
23,"Mother Dairy-Chocolate, Milk Shake, 180Ml
                    Pack.",28
