,A_Product_name,A_Price,A_Quantity
0,"Amul-Moti Homogenized Toned Milk,
                    450 Ml Pouch",33,450 Ml
1,"Amul-Taaza Homogenised Toned Milk 1
                    L Carton",77,1 L
2,"Amul-Taaza Homogenized Toned Milk,
                    500 Ml",38,500 Ml
3,"Amul-Gold Milk Homogenized
                    Standardized, 1 Litre Carton",83,1 Litre
4,"Mother Dairy-Uht Milk Carton, 1 Liter
",75,1 Liter
5,"Go-
Supremo Milk, 1 Litre",72,1 Litre
6,"Amul-Slim 'N' Trim Skimmed Milk, 1
                    Litre",85,1 Litre
7,"Amul-Lactose Free Milk, 250
                    Ml",26,250 Ml
8,"Mother Dairy-UHT Fit Lite ESL Milk,
                    450ml",32,450ml
9,"Mother Dairy-UHT
                    Milk 180ml",16,180ml
10,"-Nestlé LACTOGEN PRO 2,
                    Follow-Up Formula with Probiotic, 1.2kg | Follow-Up Formula for infants 6-12 months, 1.2kg Large
                    Pack with 3x400g pouches, With Probiotic L. reuteri, Iron,Whey Protein","1,295",1.2kg
11,"-Nestlé a+ Toned Milk, Tetra
                    Pack, 1Ltr. | Toned milk packed with the goodness and nutrition of milk, a wholesome everyday choice
                    for the family",107,
12,"-Nestlé EveryDay Dairy Creamer,
                    1kg | Nestlé EVERYDAY blends perfectly with tea giving you a thick, creamy, and tasty cup of
                    tea",561,1kg
13,"-Nestlé a+ Slim Skimmed Milk,
                    Tetra Pack, 1L | Skimmed milk with less fat, packed with the goodness of milk, a lighter choice for
                    the family",94,1L
14,"Aptamil-Gold Infant Formula for Babies
                    - Stage 1 (Upto 6 months) - with 5HMO and Prebiotics - 400gms -Bag-In-Box","1,010",
15,"-Nestlé Milkmaid Partly Skimmed
                    Sweetened Condensed Milk, 380g Tin | Partly skimmed sweetened condensed milk; a versatile kitchen
                    essential for desserts, sweets and beverages",130,380g
16,"Akshayakalpa
                    Organic-Slim Milk (UHT), Pure
                    antibiotic-free milk, low calorie, low fat, long shelf life, No chemical residues, convenient and
                    ready-to-use, nutritious by nature, 1 Ltr",136,
17,"Coco Mama-Organic Coconut Milk
                    Dairy-Free,250 Ml|Pack Of 4|Rich & Creamy Texture|Enriched With Nutrients|Contains 18% Fat|No
                    Added Artificial Sweeteners|Lactose-Free|Used For Cooking & Baking Purposes",340,250 Ml
18,"-Nestlé EveryDay Dairy Creamer,
                    200g | Nestlé EVERYDAY blends perfectly with tea giving you a thick, creamy, and tasty cup of
                    tea",129,200g
19,"-Nestlé Milkmaid Mini Sweetened
                    Liquid Condensed Milk, 190g, Doy Pack | Sweetened condensed milk in a handy mini doy pack; perfect
                    for quick desserts, sweets and beverages",84,190g
20,"Akshayakalpa
                    Organic-Slim Milk (Uht), Pure
                    Antibiotic-Free Milk, Low Calorie, Low Fat, Long Shelf Life, No Chemical Residues, Convenient And
                    Ready-To-Use, Nutritious By Nature, 200Ml",36,200Ml
21,"Dabur-Hommade Coconut Milk- Goodness
                    of 2 Creamy Coconuts-200 ml",78,200 ml
22,"Amul-Masti Spiced Butter Milk Tetra
                    Pack, 1 Litre",70,1 Litre
23,"Mother Dairy-Flavoured Milk, Cold Coffee,
                    180 Ml",30,180 Ml
