,B_Product_name,B_Price,B_Quantity
0,Let's Try Lite Multigrain Mixture Namkeen,₹76,173 g
1,Amul Taaza Toned Milk,₹30,500 ml
2,Amul Gold Full Cream Milk,₹72,1 ltr
3,Amul Lactose Free Milk,₹26,250 ml
4,Amul Taaza Homogenised Toned Milk,₹77,1 ltr
5,Country Delight Cow Milk,₹46,450 ml
6,Amul Moti Toned Milk (90 Days Shelf Life),₹33,450 ml
7,Humpy Farms A2 Cow Milk,₹46,500 ml
8,Amul Gold Milk,₹83,1 ltr
9,Amul Taaza Toned Milk - Pack of 2,₹34,2 x 200 ml
10,Mother Dairy FIT Life Homogenized Double Toned Milk (450 ml),₹32,450 ml
11,Amul Slim 'n' Trim Skimmed Milk (Zero Cholesterol),₹85,1 ltr
12,Country Delight 25 g High Protein Cow Milk,₹55,450 ml
13,Nestle a+ Slim Skimmed Milk,₹99,1 ltr
14,Mother Dairy Toned Milk,₹77,1 ltr
15,Mother Dairy FIT Life Homogenized Double Toned Milk,₹10,115 ml
16,Amul Buffalo Milk (90 Days Shelf Life),₹37,450 ml
17,Amul Calci+ Calcium Rich High Protein Milk,₹26,250 ml
18,Mother Dairy Milk,₹16,180 ml
19,Country Delight 25 g High Protein Chocolate Milk,₹119,250 ml
20,Amul Camel Milk,₹25,200 ml
21,Country Delight 25 g High Protein Vanilla Milk,₹119,250 ml
22,Country Delight Unflavoured 25 g High Protein Cow Milk,₹99,250 ml
23,Yakult Probiotic Drink,₹90,5 x 65 ml
24,Yakult Light Probiotic Drink,₹100,5 x 65 ml
25,Yakult Light Mango Probiotic Fermented Milk Drink,₹100,5 x 65 ml
26,Nestle Milkmaid Mini Sweetened Liquid Condensed Milk,₹84,190 g
27,Nestle Milkmaid Partly Skimmed Sweetened Condensed Milk,₹134,380 g
28,Harvest Gold White Bread,₹33,350 g
29,English Oven Zero Maida Atta/ Wheat Bread,₹60,400 g
30,English Oven Brown Bread,₹60,400 g
31,Harvest Gold White Bread,₹65,700 g
32,English Oven Zero Maida Multigrain Bread,₹70,400 g
33,The Health Factory Zero Maida Whole Wheat Bread,₹65,350 g
34,English Oven Milk Bread,₹50,400 g
35,English Oven Premium White Bread 350 g,₹33,350 g
