,Z_Product_name,Z_Price,Z_Quantity
0,Nandini Goodlife Toned UHT Milk (Fino Pouch),₹32,1 pack (500 ml)
1,Nandini Toned Fresh Milk | Pouch,₹24,1 pack (500 ml)
2,Nandini Standardized Fresh Milk | Pouch,₹27,1 pack (500 ml)
3,Nandini Good Life Toned UHT Milk (Fino Pouch),₹15,1 pack (180 ml)
4,Amul Gold Full Cream Fresh Milk | Pouch,₹34,1 pack (500 ml)
5,Nandini Standardized Fresh Milk | Pouch,₹52,1 pack (1 L)
6,Amul Taaza Homogenised Toned Milk (Tetra Pack),₹17,1 pack (200 ml)
7,Heritage Toned Fresh Milk | Pouch,₹27,1 pack (500 ml)
8,Heritage Special Long Life Toned Milk (Pouch),₹33,1 pack (450 ml)
9,Nandini Goodlife Toned Milk UHT (Tetra Pack Brick),₹70,1 pack (1 L)
10,Arokya Toned Fresh Milk | Pouch,₹26,1 pack (500 ml)
11,Nandini Goodlife Milk UHT (Pouch Brik),₹36,1 pack (500 ml)
12,Nandini Toned Fresh Milk | Pouch,₹46,1 pack (1 L)
13,Amul Taaza Toned Fresh Milk | Pouch,₹29,1 pack (500 ml)
14,Amul Lactose Free Milk (Tetra Pack),₹26,1 pack (250 ml)
15,Amul Taaza Homogenised Toned Milk (Tetra Pack),₹77,1 pack (1 L)
16,Heritage Full Cream Fresh Milk | Pouch,₹37,1 pack (475 ml or 500 ml)
17,Akshayakalpa Amrutha A2 Pasteurized Organic Fresh Milk | Pouch,₹47,1 pack (500 ml)
18,Akshayakalpa Organic Pasteurized Cow Fresh Milk | Pouch,₹45,1 pack (500 ml)
19,Akshayakalpa Amrutha - A2 Farm Organic Cow Fresh Milk | Pouch,₹53,1 pack (500 ml)
20,Heritage Nourish+ Fresh Milk | 18g Protein | Pouch,₹28,1 pack (500 ml)
21,Nandini Goodlife Slim Skimmed Milk UHT (Tetra Pack),₹37,1 pack (500 ml)
22,Arokya Standardized Fresh Milk | Pouch,₹32,1 pack (500 ml)
23,Amul Gold Homogenised Standardised Milk (Tetra Pack),₹83,1 pack (1 L)
24,Godrej Jersey Full Cream Milk,₹35,1 pack (490 ml or 500 ml)
25,Godrej Jersey Toned Milk - 14g Protein,₹26,1 pack (490 ml or 500 ml)
26,Heritage Farm Fresh Toned Tetra pack Milk,₹71,1 pack (1 L)
27,Amul Slim Trim Skimmed Milk (Tetra Pack),₹85,1 pack (1 L)
28,Sid's Farm Tested Toned Milk (No Antibiotics . No Hormones . No Preservatives),₹36,1 pc (500 ml)
29,Sid's Farm Tested Skim Milk (No Antibiotics . No Hormones . No Preservatives),₹32,1 pack (500 ml)
